Item Name,UOM,Item Category,Variance ,Base Price,ID,No Decimal Values
AATA,kg,KIRANA,0.00,50.00,"292482000000390837",false
AGARBATTI,Packets,F&B GENERAL PURCHASE,0.00,10.00,"292482000001776617",true
AGRI MASALA,kg,KIRANA,0.00,850.00,"292482000002393245",false
AGRI MASALA ( DONT USE THIS ),kg,KIRANA,0.00,0.00,"292482000002974409",false
AJINOMOTO,kg,KIRANA,0.00,300.00,"292482000000390787",false
AJWAIN,kg,KIRANA,0.00,400.00,"292482000000390829",false
ALMONDS- BADAM,kg,KIRANA,0.00,1000.00,"292482000000390805",false
AMCHOR POWDER ,kg,KIRANA,0.00,1000.00,"292482000000929351",false
AROMATE PWD ( DONT USE THIS ),kg,KIRANA,0.00,0.00,"292482000000932475",false
AROMATIC POWDER (100 GM PACKET),Packets,KIRANA,0.00,60.00,"292482000000390727",true
ARROWROOT POWDER,kg,KIRANA,0.00,60.00,"292482000004094261",false
AUTO 1,Trip,F&B TRANSPORT,0.00,,"292482000001235013",true
AUTO 2,Trip,F&B TRANSPORT,0.00,,"292482000005078413",true
BABY CORN,Packets,VEGETABLES,0.00,50.00,"292482000000368811",true
BABY POTATO ,kg,VEGETABLES,0.00,50.00,"292482000000368871",false
Badi Souf (Mukhwas),kg,KIRANA,0.00,400.00,"292482000001386929",false
BADISAUF ( DONT USE THIS ITEM ),Grams,KIRANA,0.00,0.00,"292482000000390857",false
BAKING POWDER,kg,KIRANA,0.00,600.00,"292482000002435171",false
BAKING SODA,kg,KIRANA,0.00,200.00,"292482000000406057",false
BAMBOO SEVAI (KHEER),kg,KIRANA,0.00,220.00,"292482000000392073",false
BANANA RAW (PIECES),Pieces ,VEGETABLES,0.00,8.00,"292482000000368807",true
BANANA RIPE (PIECES),Pieces ,VEGETABLES,0.00,8.00,"292482000002597395",true
BASMATI RICE,kg,KIRANA,0.00,120.00,"292482000000377701",false
BBQ Masala,kg,KIRANA,0.00,550.00,"292482000002121007",false
BEANS FRENCH,kg,VEGETABLES,0.00,150.00,"292482000000368819",false
BEET ROOT,kg,VEGETABLES,0.00,60.00,"292482000000368823",false
BESAN,kg,KIRANA,0.00,120.00,"292482000000377759",false
BHENDI,kg,VEGETABLES,0.00,80.00,"292482000000368827",false
BIRISTA ( FRIED ONION ),kg,KIRANA,0.00,500.00,"292482000004458869",false
BIRYANI ESSENCE,Bottle,KIRANA,0.00,100.00,"292482000002906339",true
BIRYANI MASALA,kg,KIRANA,0.00,1600.00,"292482000000392007",false
BISCUIT,kg,KIRANA,0.00,10.00,"292482000000392183",true
BITTER GOURD - KARELA DON'T USE,kg,VEGETABLES,0.00,80.00,"292482000000368831",false
BLACK CHANA,kg,KIRANA,0.00,110.00,"292482000000377767",false
BLACK CHANA VEG DON'T USE,kg,VEGETABLES,0.00,160.00,"292482000003480043",false
BLACK HIT,Bottle,F&B GENERAL PURCHASE,0.00,335.00,"292482000008636672",true
BLACK PEPPER POWDER ,kg,KIRANA,0.00,1600.00,"292482000000904027",false
BLACK SALT,kg,KIRANA,0.00,80.00,"292482000000377775",false
BLACK URAD (TUKDA),kg,KIRANA,0.00,140.00,"292482000000929331",false
BOONDI,kg,KIRANA,0.00,350.00,"292482000002870537",false
BOTTLE GOURD - LAUKI,kg,VEGETABLES,0.00,60.00,"292482000000375131",false
Bournvita 500 gm,Bottle,KIRANA,0.00,263.00,"292482000006695093",true
BREAD BROWN - 400 GM  ,Packets,DAIRY,0.00,55.00,"292482000000390155",true
BREAD CRUMBS,kg,KIRANA,0.00,250.00,"292482000000406101",false
BREAD WHITE - 400 GM ,Packets,DAIRY,0.00,50.00,"292482000000390715",true
BREAD WHITE - 750 GM,Packets,DAIRY,0.00,80.00,"292482000000390711",true
BRINJAL BHARTA - BIG,kg,VEGETABLES,0.00,70.00,"292482000000368835",false
BRINJAL KATERI - SMALL,kg,VEGETABLES,0.00,80.00,"292482000000368839",false
BROCOLLI,kg,VEGETABLES,0.00,100.00,"292482000000368843",false
Broom (Hard Jhadu),Pieces ,F&B GENERAL PURCHASE,0.00,60.00,"292482000006520661",true
Broom (Soft Jhadu),Pieces ,F&B GENERAL PURCHASE,0.00,110.00,"292482000006520649",true
BUTTER (1 KG),kg,DAIRY,0.00,620.00,"292482000000379059",true
BUTTER (100 GM),Packets,DAIRY,0.00,70.00,"292482000005730821",true
