Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Skyfall Cloud 6BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,453,28.00,,"292482000010412065",6BHK,6.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Cloud 9BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,454,42.00,,"292482000010407343",9BHK,9.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Cloud 12BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,455,56.00,,"292482000010389267",12BHK,12.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Hexagon Villa,true,,Lease,false,,Karjat,Maharashtra,,452,24.00,10697,"292482000010380874",6BHK,6.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
 House of Two- Anjuna,true, House of Two- Anjuna,Lease,false, House of Two- Anjuna,Goa,Goa,,451,8.00,,"292482000010045028",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
casa,false,casa,Lease,false,,Kullu and Manali,Himachal Pradesh,,213,10.00,,"292482000009927266",3BHK,3.00,Original,23-Jun-2026 15:20:51,20-Aug-2025 12:46:18
Lake Bliss Villa,true,Lake Bliss Villa,Lease,false,Lake Bliss Villa,Lonavala,Maharashtra,,449,12.00,"10681,","292482000009921186",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Lake Mist Villa,true,Lake Mist Villa,Lease,false,Lake Mist Villa,Lonavala,Maharashtra,,448,12.00,"10690,","292482000009912230",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Clifton Villa,true,Clifton Villa,Lease,false,Clifton Villa,Lonavala,Maharashtra,,450,24.00,10693,"292482000009897462",8BHK,8.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Hillcrest Villa,false,Hillcrest Villa,Lease,false,,Dehradun,Uttarakand,,115,10.00,,"292482000009388058",3BHK,3.00,Gold,23-Jun-2026 15:18:26,20-Aug-2025 12:47:35
 Luna Goose Villa- Calangute,true, Luna Goose Villa- Calangute,Lease,false, Luna Goose Villa- Calangute,Goa,Goa,,447,20.00,10674,"292482000009367228",6.5BHK,5.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Greco Villa,true,Greco Villa,Revenue Share,false,Greco Villa,Igatpuri,Maharashtra,,446,20.00,,"292482000009111066",5BHK,5.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
